Index,Name,Description,Pattern,Type, 
1,doctype,"**ประเภทเอกสาร**<br/>  **รหัส ประเภท**<br/>  80  ใบเพิ่มหนี้<br/>  81  ใบลดหนี้<br/>  380 ใบแจ้งหนี้<br/>  388 ใบกำกับภาษี<br/>  T01 ใบรับ<br/>  T02 ใบแจ้งหนี้/ใบกำกับภาษี<br/>  T03 ใบเสร็จรับเงิน/ใบกำกับภาษี<br/>  T04 ใบส่งของ/ใบกำกับภาษี<br/>  T05 ใบกำกับภาษีอย่างย่อ<br/>  T06 ใบเสร็จรับเงิน/ใบกำกับภาษีอย่างย่อ<br/>  T07 ใบแจ้งยกเลิก",‘T03’,string,R
2,docform,"**ประเภทฟอร์มที่ระบบรองรับ**<br/>- customer_tax_receipt<br/>- customer_tax_receipt200<br/>- customer_receipt<br/>- delivery_order_tax_receipt<br/>- invoice/refund",‘customer_tax_receipt’,string,R
3,lang_form,"**ภาษาที่ต้องการออกฟอร์ม**<br/>- th<br/>- en",‘th’,string,R
4,number,หมายเลขเอกสาร (Pre-print),‘RC2563/08-0001’,string,R
5,cancel_form,การยกเลิกเอกสาร,True,boolean, 
6,customer_code,รหัสผู้ซื้อ, ,string,R
7,customer_name,ชื่อผู้ซื้อ, ,string,R
8,seller_name,ชื่อผู้ขาย, ,string,R
9,currency,ค่าเงินในการขาย,‘THB’,string,R
10,date_document,วันที่ทำรายการเอกสาร (Posting Date),‘YYYY-MM-DD’,string,R
11,create_document,วันที่สร้างเอกสาร (Document Date),‘YYYY-MM-DD’,string,R
12,operating_unit,หน่วยงาน, ,string, 
